...1,participant,Sub_ID,Gender,Age,CorrectAns,BlockType,response_training_2.rt,trial_n,block_n,run_n,block_type_n,AQ_score,social_interaction_spontaneity,communication_reciprocity,social_dimensions,AQ_group,med_split
25,alka88,alka88,female,33,TRUE,social,3.702,24,1,5,1,13,5,3,8,Q3,High AQ
26,alka88,alka88,female,33,FALSE,nonsocial,3.3809,25,2,0,1,13,5,3,8,Q3,High AQ
27,alka88,alka88,female,33,FALSE,nonsocial,2.2294,26,2,0,1,13,5,3,8,Q3,High AQ
28,alka88,alka88,female,33,FALSE,nonsocial,1.8416,27,2,0,1,13,5,3,8,Q3,High AQ
29,alka88,alka88,female,33,TRUE,nonsocial,2.0605,28,2,0,1,13,5,3,8,Q3,High AQ
30,alka88,alka88,female,33,TRUE,nonsocial,3.0908,29,2,1,1,13,5,3,8,Q3,High AQ
31,alka88,alka88,female,33,TRUE,nonsocial,1.8996,30,2,1,1,13,5,3,8,Q3,High AQ
32,alka88,alka88,female,33,TRUE,nonsocial,0.8925,31,2,1,1,13,5,3,8,Q3,High AQ
33,alka88,alka88,female,33,FALSE,nonsocial,1.7895,32,2,1,1,13,5,3,8,Q3,High AQ
34,alka88,alka88,female,33,TRUE,nonsocial,1.008,33,2,2,1,13,5,3,8,Q3,High AQ
35,alka88,alka88,female,33,TRUE,nonsocial,1.3853,34,2,2,1,13,5,3,8,Q3,High AQ
36,alka88,alka88,female,33,FALSE,nonsocial,1.4836,75,4,0,2,13,5,3,8,Q3,High AQ
37,alka88,alka88,female,33,TRUE,nonsocial,1.0907,76,4,0,2,13,5,3,8,Q3,High AQ
38,alka88,alka88,female,33,TRUE,nonsocial,2.4508,77,4,1,2,13,5,3,8,Q3,High AQ
39,alka88,alka88,female,33,FALSE,nonsocial,0.6657,78,4,1,2,13,5,3,8,Q3,High AQ
40,alka88,alka88,female,33,FALSE,nonsocial,1.9801,79,4,1,2,13,5,3,8,Q3,High AQ
41,alka88,alka88,female,33,TRUE,nonsocial,0.4638,80,4,1,2,13,5,3,8,Q3,High AQ
42,alka88,alka88,female,33,TRUE,social,1.1617,3,1,0,1,13,5,3,8,Q3,High AQ
43,alka88,alka88,female,33,FALSE,social,2.8624,4,1,0,1,13,5,3,8,Q3,High AQ
44,alka88,alka88,female,33,TRUE,nonsocial,1.0676,44,2,4,1,13,5,3,8,Q3,High AQ
45,alka88,alka88,female,33,TRUE,nonsocial,1.0159,45,2,5,1,13,5,3,8,Q3,High AQ
46,alka88,alka88,female,33,TRUE,nonsocial,1.1326,46,2,5,1,13,5,3,8,Q3,High AQ
47,alka88,alka88,female,33,TRUE,nonsocial,1.2484,47,2,5,1,13,5,3,8,Q3,High AQ
48,alka88,alka88,female,33,TRUE,nonsocial,0.5312,88,4,3,2,13,5,3,8,Q3,High AQ
49,alka88,alka88,female,33,TRUE,nonsocial,1.6994,89,4,4,2,13,5,3,8,Q3,High AQ
50,alka88,alka88,female,33,TRUE,nonsocial,0.8905,90,4,4,2,13,5,3,8,Q3,High AQ
51,alka88,alka88,female,33,TRUE,nonsocial,1.3647,91,4,4,2,13,5,3,8,Q3,High AQ
52,alka88,alka88,female,33,TRUE,nonsocial,0.8306,92,4,4,2,13,5,3,8,Q3,High AQ
53,alka88,alka88,female,33,TRUE,nonsocial,0.6965,93,4,5,2,13,5,3,8,Q3,High AQ
54,alka88,alka88,female,33,FALSE,nonsocial,1.6786,94,4,5,2,13,5,3,8,Q3,High AQ
55,alka88,alka88,female,33,TRUE,social,3.1611,55,3,1,2,13,5,3,8,Q3,High AQ
56,alka88,alka88,female,33,FALSE,social,1.6327,56,3,1,2,13,5,3,8,Q3,High AQ
57,alka88,alka88,female,33,TRUE,social,1.9243,57,3,2,2,13,5,3,8,Q3,High AQ
58,alka88,alka88,female,33,TRUE,social,1.0223,58,3,2,2,13,5,3,8,Q3,High AQ
59,alka88,alka88,female,33,TRUE,social,1.5973,59,3,2,2,13,5,3,8,Q3,High AQ
60,alka88,alka88,female,33,FALSE,social,2.3804,19,1,4,1,13,5,3,8,Q3,High AQ
61,alka88,alka88,female,33,TRUE,social,1.6436,60,3,2,2,13,5,3,8,Q3,High AQ
62,alka88,alka88,female,33,FALSE,social,1.5868,61,3,3,2,13,5,3,8,Q3,High AQ
63,alka88,alka88,female,33,TRUE,social,3.441,62,3,3,2,13,5,3,8,Q3,High AQ
64,alka88,alka88,female,33,TRUE,social,0.5302,63,3,3,2,13,5,3,8,Q3,High AQ
65,alka88,alka88,female,33,TRUE,social,0.5533,64,3,3,2,13,5,3,8,Q3,High AQ
66,alka88,alka88,female,33,FALSE,social,2.1332,65,3,4,2,13,5,3,8,Q3,High AQ
67,alka88,alka88,female,33,TRUE,social,1.1073,66,3,4,2,13,5,3,8,Q3,High AQ
68,alka88,alka88,female,33,TRUE,social,1.6794,67,3,4,2,13,5,3,8,Q3,High AQ
69,alka88,alka88,female,33,TRUE,social,0.4891,68,3,4,2,13,5,3,8,Q3,High AQ
70,alka88,alka88,female,33,TRUE,social,1.4499,69,3,5,2,13,5,3,8,Q3,High AQ
71,alka88,alka88,female,33,TRUE,social,0.7163,70,3,5,2,13,5,3,8,Q3,High AQ
72,alka88,alka88,female,33,FALSE,social,1.9016,71,3,5,2,13,5,3,8,Q3,High AQ
73,alka88,alka88,female,33,TRUE,social,1.4268,72,3,5,2,13,5,3,8,Q3,High AQ
74,alka88,alka88,female,33,TRUE,nonsocial,1.8212,73,4,0,2,13,5,3,8,Q3,High AQ
75,alka88,alka88,female,33,TRUE,nonsocial,1.1348,74,4,0,2,13,5,3,8,Q3,High AQ
76,alka88,alka88,female,33,TRUE,social,0.4964,8,1,1,1,13,5,3,8,Q3,High AQ
77,alka88,alka88,female,33,TRUE,social,2.5368,9,1,2,1,13,5,3,8,Q3,High AQ
78,alka88,alka88,female,33,TRUE,social,0.8677,10,1,2,1,13,5,3,8,Q3,High AQ
79,alka88,alka88,female,33,FALSE,social,2.1999,11,1,2,1,13,5,3,8,Q3,High AQ
80,alka88,alka88,female,33,FALSE,social,0.854,12,1,2,1,13,5,3,8,Q3,High AQ
81,alka88,alka88,female,33,FALSE,social,2.5733,13,1,3,1,13,5,3,8,Q3,High AQ
82,alka88,alka88,female,33,TRUE,nonsocial,1.3538,81,4,2,2,13,5,3,8,Q3,High AQ
83,alka88,alka88,female,33,TRUE,nonsocial,1.6242,41,2,4,1,13,5,3,8,Q3,High AQ
84,alka88,alka88,female,33,TRUE,nonsocial,2.7266,42,2,4,1,13,5,3,8,Q3,High AQ
85,alka88,alka88,female,33,TRUE,nonsocial,1.0289,43,2,4,1,13,5,3,8,Q3,High AQ
86,alka88,alka88,female,33,TRUE,nonsocial,1.958,85,4,3,2,13,5,3,8,Q3,High AQ
87,alka88,alka88,female,33,FALSE,nonsocial,1.4272,86,4,3,2,13,5,3,8,Q3,High AQ
88,alka88,alka88,female,33,FALSE,social,1.5486,7,1,1,1,13,5,3,8,Q3,High AQ
89,alka88,alka88,female,33,TRUE,nonsocial,0.6625,87,4,3,2,13,5,3,8,Q3,High AQ
90,alka88,alka88,female,33,TRUE,nonsocial,0.5779,83,4,2,2,13,5,3,8,Q3,High AQ
91,alka88,alka88,female,33,TRUE,social,1.5154,14,1,3,1,13,5,3,8,Q3,High AQ
92,alka88,alka88,female,33,TRUE,nonsocial,2.2702,95,4,5,2,13,5,3,8,Q3,High AQ
93,alka88,alka88,female,33,TRUE,nonsocial,2.1948,96,4,5,2,13,5,3,8,Q3,High AQ
94,alka88,alka88,female,33,FALSE,nonsocial,1.3308,82,4,2,2,13,5,3,8,Q3,High AQ
95,alka88,alka88,female,33,TRUE,social,0.7312,18,1,4,1,13,5,3,8,Q3,High AQ
96,alka88,alka88,female,33,TRUE,nonsocial,0.9543,84,4,2,2,13,5,3,8,Q3,High AQ
97,alsp92,alsp92,male,29,TRUE,nonsocial,1.2591,26,2,0,1,1,0,1,1,Q1,Low AQ
98,alsp92,alsp92,male,29,FALSE,social,1.3895,23,1,5,1,1,0,1,1,Q1,Low AQ
99,alsp92,alsp92,male,29,TRUE,social,2.484,24,1,5,1,1,0,1,1,Q1,Low AQ
100,alsp92,alsp92,male,29,FALSE,nonsocial,2.1357,25,2,0,1,1,0,1,1,Q1,Low AQ
101,alsp92,alsp92,male,29,FALSE,social,1.2188,7,1,1,1,1,0,1,1,Q1,Low AQ
102,alsp92,alsp92,male,29,TRUE,nonsocial,1.1002,27,2,0,1,1,0,1,1,Q1,Low AQ
103,alsp92,alsp92,male,29,FALSE,social,2.1012,9,1,2,1,1,0,1,1,Q1,Low AQ
104,alsp92,alsp92,male,29,FALSE,social,1.794,6,1,1,1,1,0,1,1,Q1,Low AQ
105,alsp92,alsp92,male,29,FALSE,social,0.6555,11,1,2,1,1,0,1,1,Q1,Low AQ
106,alsp92,alsp92,male,29,TRUE,social,1.1756,22,1,5,1,1,0,1,1,Q1,Low AQ
107,alsp92,alsp92,male,29,FALSE,social,2.4442,13,1,3,1,1,0,1,1,Q1,Low AQ
108,alsp92,alsp92,male,29,TRUE,social,1.0619,10,1,2,1,1,0,1,1,Q1,Low AQ
109,alsp92,alsp92,male,29,TRUE,social,1.6156,15,1,3,1,1,0,1,1,Q1,Low AQ
110,alsp92,alsp92,male,29,FALSE,social,0.9886,12,1,2,1,1,0,1,1,Q1,Low AQ
111,alsp92,alsp92,male,29,TRUE,nonsocial,0.6156,43,2,4,1,1,0,1,1,Q1,Low AQ
112,alsp92,alsp92,male,29,FALSE,social,1.7759,14,1,3,1,1,0,1,1,Q1,Low AQ
113,alsp92,alsp92,male,29,FALSE,social,1.8799,19,1,4,1,1,0,1,1,Q1,Low AQ
114,alsp92,alsp92,male,29,FALSE,social,1.0534,20,1,4,1,1,0,1,1,Q1,Low AQ
115,alsp92,alsp92,male,29,FALSE,social,1.6288,8,1,1,1,1,0,1,1,Q1,Low AQ
116,alsp92,alsp92,male,29,FALSE,social,0.7045,60,3,2,2,1,0,1,1,Q1,Low AQ
117,alsp92,alsp92,male,29,TRUE,social,1.2486,61,3,3,2,1,0,1,1,Q1,Low AQ
118,alsp92,alsp92,male,29,FALSE,social,0.7051,62,3,3,2,1,0,1,1,Q1,Low AQ
119,alsp92,alsp92,male,29,TRUE,social,0.5374,63,3,3,2,1,0,1,1,Q1,Low AQ
120,alsp92,alsp92,male,29,FALSE,social,0.3727,64,3,3,2,1,0,1,1,Q1,Low AQ
121,alsp92,alsp92,male,29,FALSE,social,0.9111,65,3,4,2,1,0,1,1,Q1,Low AQ
122,alsp92,alsp92,male,29,FALSE,social,0.6972,66,3,4,2,1,0,1,1,Q1,Low AQ
123,alsp92,alsp92,male,29,FALSE,social,1.4776,16,1,3,1,1,0,1,1,Q1,Low AQ
124,alsp92,alsp92,male,29,TRUE,social,2.1377,17,1,4,1,1,0,1,1,Q1,Low AQ
125,alsp92,alsp92,male,29,TRUE,social,2.5521,18,1,4,1,1,0,1,1,Q1,Low AQ
126,alsp92,alsp92,male,29,TRUE,nonsocial,0.6342,30,2,1,1,1,0,1,1,Q1,Low AQ
127,alsp92,alsp92,male,29,TRUE,nonsocial,0.7534,31,2,1,1,1,0,1,1,Q1,Low AQ
128,alsp92,alsp92,male,29,FALSE,social,1.5277,21,1,5,1,1,0,1,1,Q1,Low AQ
129,alsp92,alsp92,male,29,FALSE,nonsocial,0.9592,73,4,0,2,1,0,1,1,Q1,Low AQ
130,alsp92,alsp92,male,29,TRUE,nonsocial,0.5448,74,4,0,2,1,0,1,1,Q1,Low AQ
131,alsp92,alsp92,male,29,FALSE,nonsocial,0.3737,75,4,0,2,1,0,1,1,Q1,Low AQ
132,alsp92,alsp92,male,29,TRUE,nonsocial,1.4596,76,4,0,2,1,0,1,1,Q1,Low AQ
133,alsp92,alsp92,male,29,TRUE,nonsocial,1.4815,77,4,1,2,1,0,1,1,Q1,Low AQ
134,alsp92,alsp92,male,29,FALSE,nonsocial,0.5735,78,4,1,2,1,0,1,1,Q1,Low AQ
135,alsp92,alsp92,male,29,TRUE,nonsocial,1.5028,79,4,1,2,1,0,1,1,Q1,Low AQ
136,alsp92,alsp92,male,29,TRUE,nonsocial,1.5523,41,2,4,1,1,0,1,1,Q1,Low AQ
137,alsp92,alsp92,male,29,TRUE,nonsocial,0.9585,42,2,4,1,1,0,1,1,Q1,Low AQ
138,alsp92,alsp92,male,29,TRUE,nonsocial,0.594,82,4,2,2,1,0,1,1,Q1,Low AQ
139,alsp92,alsp92,male,29,FALSE,nonsocial,0.4566,83,4,2,2,1,0,1,1,Q1,Low AQ
140,alsp92,alsp92,male,29,TRUE,nonsocial,0.7706,84,4,2,2,1,0,1,1,Q1,Low AQ
141,alsp92,alsp92,male,29,FALSE,social,2.9831,5,1,1,1,1,0,1,1,Q1,Low AQ
142,alsp92,alsp92,male,29,TRUE,nonsocial,1.1243,45,2,5,1,1,0,1,1,Q1,Low AQ
143,alsp92,alsp92,male,29,TRUE,nonsocial,0.7453,46,2,5,1,1,0,1,1,Q1,Low AQ
144,alsp92,alsp92,male,29,TRUE,nonsocial,0.7611,47,2,5,1,1,0,1,1,Q1,Low AQ
145,alsp92,alsp92,male,29,TRUE,nonsocial,0.5366,48,2,5,1,1,0,1,1,Q1,Low AQ
146,alsp92,alsp92,male,29,FALSE,social,1.0325,49,3,0,2,1,0,1,1,Q1,Low AQ
147,alsp92,alsp92,male,29,TRUE,social,1.3435,50,3,0,2,1,0,1,1,Q1,Low AQ
148,alsp92,alsp92,male,29,FALSE,social,0.8427,51,3,0,2,1,0,1,1,Q1,Low AQ
149,alsp92,alsp92,male,29,TRUE,social,0.4446,52,3,0,2,1,0,1,1,Q1,Low AQ
150,alsp92,alsp92,male,29,FALSE,social,1.2304,53,3,1,2,1,0,1,1,Q1,Low AQ
151,alsp92,alsp92,male,29,TRUE,social,0.862,54,3,1,2,1,0,1,1,Q1,Low AQ
152,alsp92,alsp92,male,29,FALSE,social,0.5036,55,3,1,2,1,0,1,1,Q1,Low AQ
153,alsp92,alsp92,male,29,TRUE,social,0.4022,56,3,1,2,1,0,1,1,Q1,Low AQ
154,alsp92,alsp92,male,29,FALSE,social,0.9152,57,3,2,2,1,0,1,1,Q1,Low AQ
155,alsp92,alsp92,male,29,TRUE,social,0.5516,58,3,2,2,1,0,1,1,Q1,Low AQ
156,alsp92,alsp92,male,29,TRUE,social,0.7405,59,3,2,2,1,0,1,1,Q1,Low AQ
157,alsp92,alsp92,male,29,FALSE,nonsocial,NA,33,2,2,1,1,0,1,1,Q1,Low AQ
158,alsp92,alsp92,male,29,FALSE,nonsocial,0.9379,34,2,2,1,1,0,1,1,Q1,Low AQ
159,alsp92,alsp92,male,29,TRUE,nonsocial,1.3757,35,2,2,1,1,0,1,1,Q1,Low AQ
160,alsp92,alsp92,male,29,TRUE,nonsocial,1.0569,36,2,2,1,1,0,1,1,Q1,Low AQ
161,alsp92,alsp92,male,29,TRUE,nonsocial,1.2447,37,2,3,1,1,0,1,1,Q1,Low AQ
162,alsp92,alsp92,male,29,TRUE,nonsocial,1.2908,38,2,3,1,1,0,1,1,Q1,Low AQ
163,alsp92,alsp92,male,29,FALSE,nonsocial,1.094,80,4,1,2,1,0,1,1,Q1,Low AQ
164,alsp92,alsp92,male,29,FALSE,nonsocial,0.6675,28,2,0,1,1,0,1,1,Q1,Low AQ
165,alsp92,alsp92,male,29,FALSE,nonsocial,1.4419,29,2,1,1,1,0,1,1,Q1,Low AQ
166,alsp92,alsp92,male,29,TRUE,social,0.5726,70,3,5,2,1,0,1,1,Q1,Low AQ
167,alsp92,alsp92,male,29,TRUE,social,1.097,71,3,5,2,1,0,1,1,Q1,Low AQ
168,alsp92,alsp92,male,29,TRUE,social,0.5751,72,3,5,2,1,0,1,1,Q1,Low AQ
169,alsp92,alsp92,male,29,TRUE,nonsocial,0.5022,32,2,1,1,1,0,1,1,Q1,Low AQ
170,alsp92,alsp92,male,29,TRUE,nonsocial,1.3824,85,4,3,2,1,0,1,1,Q1,Low AQ
171,alsp92,alsp92,male,29,TRUE,nonsocial,0.6974,86,4,3,2,1,0,1,1,Q1,Low AQ
172,alsp92,alsp92,male,29,FALSE,nonsocial,0.9897,87,4,3,2,1,0,1,1,Q1,Low AQ
173,alsp92,alsp92,male,29,TRUE,nonsocial,0.4695,88,4,3,2,1,0,1,1,Q1,Low AQ
174,alsp92,alsp92,male,29,FALSE,nonsocial,1.1456,89,4,4,2,1,0,1,1,Q1,Low AQ
175,alsp92,alsp92,male,29,FALSE,nonsocial,1.0045,90,4,4,2,1,0,1,1,Q1,Low AQ
176,alsp92,alsp92,male,29,TRUE,nonsocial,0.4355,91,4,4,2,1,0,1,1,Q1,Low AQ
177,alsp92,alsp92,male,29,TRUE,nonsocial,1.2563,81,4,2,2,1,0,1,1,Q1,Low AQ
178,alsp92,alsp92,male,29,FALSE,social,0.8507,1,1,0,1,1,0,1,1,Q1,Low AQ
179,alsp92,alsp92,male,29,TRUE,social,1.0479,2,1,0,1,1,0,1,1,Q1,Low AQ
180,alsp92,alsp92,male,29,TRUE,social,0.8835,3,1,0,1,1,0,1,1,Q1,Low AQ
181,alsp92,alsp92,male,29,FALSE,social,0.4879,4,1,0,1,1,0,1,1,Q1,Low AQ
182,alsp92,alsp92,male,29,TRUE,nonsocial,0.3766,44,2,4,1,1,0,1,1,Q1,Low AQ
183,alsp92,alsp92,male,29,TRUE,nonsocial,1.0197,93,4,5,2,1,0,1,1,Q1,Low AQ
184,alsp92,alsp92,male,29,TRUE,nonsocial,0.8093,94,4,5,2,1,0,1,1,Q1,Low AQ
185,alsp92,alsp92,male,29,TRUE,nonsocial,0.8135,95,4,5,2,1,0,1,1,Q1,Low AQ
186,alsp92,alsp92,male,29,TRUE,nonsocial,0.9383,92,4,4,2,1,0,1,1,Q1,Low AQ
187,alsp92,alsp92,male,29,TRUE,nonsocial,0.5437,39,2,3,1,1,0,1,1,Q1,Low AQ
188,alsp92,alsp92,male,29,TRUE,social,0.3565,67,3,4,2,1,0,1,1,Q1,Low AQ
189,alsp92,alsp92,male,29,TRUE,social,0.8703,68,3,4,2,1,0,1,1,Q1,Low AQ
190,alsp92,alsp92,male,29,FALSE,nonsocial,0.842,96,4,5,2,1,0,1,1,Q1,Low AQ
191,alsp92,alsp92,male,29,TRUE,nonsocial,0.4332,40,2,3,1,1,0,1,1,Q1,Low AQ
192,alsp92,alsp92,male,29,FALSE,social,0.7738,69,3,5,2,1,0,1,1,Q1,Low AQ
193,anfi01,anfi01,female,21,TRUE,nonsocial,0.9578,44,2,4,1,9,1,3,4,median,Low AQ
194,anfi01,anfi01,female,21,FALSE,nonsocial,2.6011,45,2,5,1,9,1,3,4,median,Low AQ
195,anfi01,anfi01,female,21,TRUE,nonsocial,1.285,48,2,5,1,9,1,3,4,median,Low AQ
196,anfi01,anfi01,female,21,TRUE,social,2.6939,49,3,0,2,9,1,3,4,median,Low AQ
197,anfi01,anfi01,female,21,TRUE,nonsocial,1.5223,46,2,5,1,9,1,3,4,median,Low AQ
198,anfi01,anfi01,female,21,TRUE,nonsocial,0.6145,47,2,5,1,9,1,3,4,median,Low AQ
199,anfi01,anfi01,female,21,TRUE,nonsocial,4.2412,29,2,1,1,9,1,3,4,median,Low AQ
200,anfi01,anfi01,female,21,TRUE,nonsocial,3.0529,43,2,4,1,9,1,3,4,median,Low AQ
201,anfi01,anfi01,female,21,TRUE,social,2.6073,50,3,0,2,9,1,3,4,median,Low AQ
202,anfi01,anfi01,female,21,TRUE,nonsocial,2.8852,85,4,3,2,9,1,3,4,median,Low AQ
203,anfi01,anfi01,female,21,TRUE,nonsocial,0.5774,86,4,3,2,9,1,3,4,median,Low AQ
204,anfi01,anfi01,female,21,TRUE,nonsocial,0.6728,87,4,3,2,9,1,3,4,median,Low AQ
205,anfi01,anfi01,female,21,TRUE,nonsocial,0.3602,84,4,2,2,9,1,3,4,median,Low AQ
206,anfi01,anfi01,female,21,TRUE,nonsocial,0.9977,89,4,4,2,9,1,3,4,median,Low AQ
207,anfi01,anfi01,female,21,TRUE,social,0.8978,53,3,1,2,9,1,3,4,median,Low AQ
208,anfi01,anfi01,female,21,TRUE,nonsocial,1.2392,42,2,4,1,9,1,3,4,median,Low AQ
209,anfi01,anfi01,female,21,TRUE,nonsocial,2.0131,88,4,3,2,9,1,3,4,median,Low AQ
210,anfi01,anfi01,female,21,TRUE,social,1.341,17,1,4,1,9,1,3,4,median,Low AQ
211,anfi01,anfi01,female,21,TRUE,social,0.8762,18,1,4,1,9,1,3,4,median,Low AQ
212,anfi01,anfi01,female,21,TRUE,social,0.8678,19,1,4,1,9,1,3,4,median,Low AQ
213,anfi01,anfi01,female,21,TRUE,social,0.8266,16,1,3,1,9,1,3,4,median,Low AQ
214,anfi01,anfi01,female,21,TRUE,social,1.2354,21,1,5,1,9,1,3,4,median,Low AQ
215,anfi01,anfi01,female,21,TRUE,social,0.7578,22,1,5,1,9,1,3,4,median,Low AQ
216,anfi01,anfi01,female,21,TRUE,nonsocial,0.7948,90,4,4,2,9,1,3,4,median,Low AQ
217,anfi01,anfi01,female,21,TRUE,social,0.6421,20,1,4,1,9,1,3,4,median,Low AQ
218,anfi01,anfi01,female,21,TRUE,social,0.3191,64,3,3,2,9,1,3,4,median,Low AQ
219,anfi01,anfi01,female,21,TRUE,social,0.8597,65,3,4,2,9,1,3,4,median,Low AQ
220,anfi01,anfi01,female,21,TRUE,social,0.9636,66,3,4,2,9,1,3,4,median,Low AQ
221,anfi01,anfi01,female,21,TRUE,social,1.3461,54,3,1,2,9,1,3,4,median,Low AQ
222,anfi01,anfi01,female,21,TRUE,nonsocial,2.9299,28,2,0,1,9,1,3,4,median,Low AQ
223,anfi01,anfi01,female,21,FALSE,nonsocial,1.7986,30,2,1,1,9,1,3,4,median,Low AQ
224,anfi01,anfi01,female,21,FALSE,nonsocial,3.3159,31,2,1,1,9,1,3,4,median,Low AQ
225,anfi01,anfi01,female,21,TRUE,nonsocial,1.5887,32,2,1,1,9,1,3,4,median,Low AQ
226,anfi01,anfi01,female,21,FALSE,nonsocial,NA,33,2,2,1,9,1,3,4,median,Low AQ
227,anfi01,anfi01,female,21,FALSE,nonsocial,2.0471,34,2,2,1,9,1,3,4,median,Low AQ
228,anfi01,anfi01,female,21,TRUE,nonsocial,1.2485,35,2,2,1,9,1,3,4,median,Low AQ
229,anfi01,anfi01,female,21,TRUE,nonsocial,2.0296,36,2,2,1,9,1,3,4,median,Low AQ
230,anfi01,anfi01,female,21,TRUE,nonsocial,1.5662,37,2,3,1,9,1,3,4,median,Low AQ
231,anfi01,anfi01,female,21,TRUE,nonsocial,0.8129,38,2,3,1,9,1,3,4,median,Low AQ
232,anfi01,anfi01,female,21,TRUE,nonsocial,0.6488,39,2,3,1,9,1,3,4,median,Low AQ
233,anfi01,anfi01,female,21,TRUE,nonsocial,0.4234,40,2,3,1,9,1,3,4,median,Low AQ
234,anfi01,anfi01,female,21,TRUE,nonsocial,0.9547,41,2,4,1,9,1,3,4,median,Low AQ
235,anfi01,anfi01,female,21,TRUE,social,2.5397,1,1,0,1,9,1,3,4,median,Low AQ
236,anfi01,anfi01,female,21,TRUE,social,4.2744,2,1,0,1,9,1,3,4,median,Low AQ
237,anfi01,anfi01,female,21,FALSE,social,3.359,3,1,0,1,9,1,3,4,median,Low AQ
238,anfi01,anfi01,female,21,FALSE,social,3.0358,4,1,0,1,9,1,3,4,median,Low AQ
239,anfi01,anfi01,female,21,TRUE,social,1.5924,5,1,1,1,9,1,3,4,median,Low AQ
240,anfi01,anfi01,female,21,TRUE,social,4.8498,6,1,1,1,9,1,3,4,median,Low AQ
241,anfi01,anfi01,female,21,TRUE,social,0.8634,7,1,1,1,9,1,3,4,median,Low AQ
242,anfi01,anfi01,female,21,TRUE,social,1.1069,8,1,1,1,9,1,3,4,median,Low AQ
243,anfi01,anfi01,female,21,TRUE,social,2.6801,9,1,2,1,9,1,3,4,median,Low AQ
244,anfi01,anfi01,female,21,TRUE,social,1.7168,10,1,2,1,9,1,3,4,median,Low AQ
245,anfi01,anfi01,female,21,TRUE,social,0.6223,51,3,0,2,9,1,3,4,median,Low AQ
246,anfi01,anfi01,female,21,TRUE,social,2.1704,52,3,0,2,9,1,3,4,median,Low AQ
247,anfi01,anfi01,female,21,TRUE,nonsocial,1.0771,94,4,5,2,9,1,3,4,median,Low AQ
248,anfi01,anfi01,female,21,TRUE,nonsocial,0.4449,95,4,5,2,9,1,3,4,median,Low AQ
249,anfi01,anfi01,female,21,TRUE,nonsocial,0.7919,96,4,5,2,9,1,3,4,median,Low AQ
250,anfi01,anfi01,female,21,TRUE,social,1.744,55,3,1,2,9,1,3,4,median,Low AQ
251,anfi01,anfi01,female,21,TRUE,social,0.904,56,3,1,2,9,1,3,4,median,Low AQ
252,anfi01,anfi01,female,21,TRUE,social,1.2559,57,3,2,2,9,1,3,4,median,Low AQ
253,anfi01,anfi01,female,21,TRUE,social,2.0333,58,3,2,2,9,1,3,4,median,Low AQ
254,anfi01,anfi01,female,21,TRUE,social,0.8297,59,3,2,2,9,1,3,4,median,Low AQ
