,Sub_ID,Stim,BlockType,Alpha,Theta,Rho,neg_ll,BIC
31,ango96,29,nonsocial,0.8069685400828273,50.0,0.09537266940929218,2.1609305341001233,11.776581017564247
32,anpe97,64,nonsocial,1.0,25.21883847082904,0.0,7.6246223265563655,22.70396460247673
33,anpe97,96,nonsocial,0.6484654622876722,2.163657284803893,1.0,6.460198475324645,20.37511690001329
34,anpe97,74,nonsocial,0.14401396133258992,50.0,1.0,0.7620741489636897,8.97886824729138
35,anpe97,98,nonsocial,1.0,49.999511100493194,0.016946117888416004,6.801790201141359,21.05830035164672
36,anpe97,31,social,0.035930324993411734,50.0,0.481164226148254,4.837971234202128,17.130662417768256
37,anpe97,37,social,0.41976526644715406,50.0,0.1707528730712771,2.526751311393984,12.508222572151968
38,anpe97,21,social,0.11482985084123226,50.0,0.3874504394546438,5.6266326201366565,18.707985189637313
39,anpe97,81,social,0.09127041314501125,50.0,0.45630520380007955,6.852364431028624,21.15944881142125
40,beka93,10,social,0.04337759333323601,50.0,1.0,5.121121951644909,17.69696385265382
41,beka93,38,social,0.11031588741702449,50.0,0.6888922187952975,3.8517258124966927,15.158171574357386
42,beka93,20,social,0.11417167711825948,50.0,1.0,2.4101680573991215,12.275056064162245
43,beka93,76,social,0.1320422941018408,50.0,0.530989647095835,3.6389913941582193,14.732702737680441
44,beka93,89,nonsocial,0.3691687790730904,50.0,0.9761043958980179,2.0718895918784686,11.598499133120939
45,beka93,65,nonsocial,0.0069251767810617195,50.0,1.0,7.5010380018479,22.456795953059803
46,beka93,21,nonsocial,0.3120364377488151,50.0,1.0,0.6938504944759576,8.842420938315916
47,beka93,91,nonsocial,0.7829110260572137,2.8014087233953964,1.0,6.210599807260045,19.87591956388409
48,beka95,20,social,0.9302161543180365,50.0,0.0,7.232242945290138,21.919205839944276
49,beka95,22,social,0.046583473458749546,29.25254988278179,0.0,7.7177783727870235,22.89027669493805
50,beka95,82,social,1.0,25.0,0.0,7.6246227128056265,22.703965374975255
51,beka95,92,social,1.0,25.0,0.0,7.6246227128056265,22.703965374975255
52,beka95,89,nonsocial,0.22434330225156077,3.993697684845763,1.0,7.005673697089476,21.466067343542953
53,beka95,53,nonsocial,0.12152244080628705,50.0,1.0,1.8786658057510648,11.212051560866131
54,beka95,73,nonsocial,0.15941984177365584,50.0,0.3389497911422312,4.584352747694441,16.623425444752883
55,beka95,21,nonsocial,0.2723948213058828,50.0,1.0,0.6961369707768289,8.846993890917659
56,brte95,46,social,0.049991030677639894,40.384587857932445,0.0,7.452717654440901,22.360155258245804
57,brte95,70,social,0.41808578677496516,8.018266886639362,0.0,7.623713662437751,22.702147274239504
58,brte95,98,social,0.18265474812249702,50.0,0.09416431967286819,5.102308362448655,17.65933667426131
59,brte95,26,social,0.9280760679844119,2.2983804798694383,1.0,5.944594278259377,19.343908505882755
60,brte95,73,nonsocial,0.042104994603560604,50.0,0.0,6.9898800772262,21.4344801038164
61,brte95,51,nonsocial,0.9916550469896565,50.0,0.008855231244578283,7.515916967933769,22.48655388523154
62,brte95,27,nonsocial,0.5421122027604087,1.8122742306317114,0.0,8.217992134151839,23.89070421766768
63,brte95,25,nonsocial,0.021418822884669897,50.0,0.0,7.59972242540606,22.65416480017612
64,caka98,54,nonsocial,0.6688253803606394,50.0,0.09996009731371193,3.003837274230259,13.46239449782452
65,caka98,48,nonsocial,0.8760794791752198,50.0,0.029534150412549018,5.662900445395372,18.780520840154743
