,Sub_ID,Stim,BlockType,Alpha,Theta,neg_ll,BIC
123,tost94,14,social,1.0,1.1895290472484743,7.891030055882667,20.751873411341336
124,tost94,95,nonsocial,0.21600948726564237,50.0,0.7006317845661632,6.371076868708327
125,tost94,51,nonsocial,1.0,1.0,8.220427322667609,21.410667944911218
126,tost94,45,nonsocial,0.8602194034315285,1.9198458635284148,6.7281074804497845,18.42602826047557
127,tost94,19,nonsocial,1.0,1.0,8.29984103992228,21.56949537942056
128,beka95,20,social,0.0,1.0,8.317766166719343,21.605345633014686
129,beka95,22,social,0.0,1.0,8.317766166719343,21.605345633014686
130,beka95,82,social,0.0,1.0,8.317766166719343,21.605345633014686
131,beka95,92,social,0.0,1.0,8.317766166719343,21.605345633014686
132,beka95,89,nonsocial,0.2243432915136254,3.9936979530302836,7.0056736970894775,18.981160693754955
133,beka95,53,nonsocial,0.12152243559329504,50.0,1.8786658057510661,8.727144911078133
134,beka95,73,nonsocial,0.724261945957425,1.5644835583368966,6.523841072934841,18.017495445445682
135,beka95,21,nonsocial,0.2723948241245985,50.0,0.6961369707768289,6.362087241129658
136,piob00,40,nonsocial,0.1377587040105685,50.0,1.2046883098910048,7.37918991935801
137,piob00,28,nonsocial,0.6509371924538158,50.0,0.6937991494667863,6.357411598509573
138,piob00,18,nonsocial,0.02573984229982574,50.0,3.8672087272142126,12.704230754004426
139,piob00,26,nonsocial,0.03822706877895378,50.0,4.860805305624691,14.691423910825382
140,piob00,63,social,0.04414636354923291,50.0,4.4176200941499655,13.80505348787593
141,piob00,25,social,0.4950549653905012,50.0,1.3867260298329354,7.743265359241871
142,piob00,71,social,0.03586322556045271,50.0,2.2108109707975183,9.391435241171038
143,piob00,77,social,0.2723948241245985,50.0,0.6961369707768289,6.362087241129658
144,matr95,40,nonsocial,0.004685654424933444,50.0,7.8663728575523635,20.702559014680727
145,matr95,46,nonsocial,1.0,1.797620368244189,6.712929688596962,18.395672676769923
146,matr95,60,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
147,matr95,96,nonsocial,0.3799961439212143,1.6581363068022494,7.6354206260006965,20.240654551577393
148,matr95,43,social,0.0,1.0,8.317766166719343,21.605345633014686
149,matr95,73,social,0.398944743005318,4.1411864596574635,7.172287715229384,19.314388730034768
