left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,91,B,left,0,2.2233,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""B"",""B"",""A""]]",Yes,0,2,2,2,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,1.1541,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""B"",""B"",""A""]]",Yes,0,3,3,1,1,A,,,,,,,,,,,,,,,,,,,,,
A,B,32,A,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.2347,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,86,A,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.886,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,76,B,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.2763,Incongruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,84,B,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,2.3541,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,86,A,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,2.132,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
B,A,32,B,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.2857,Congruent,0,social,1,0,1,0,1,,,,,,,,,,
B,A,84,A,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,3.3583,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
B,A,76,A,,,,,,,,,,,,,,leas96,001,2022-04-05_12h07.58.158,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,2.4724,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
