left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,2.2983,Congruent,social,0,0,0,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.0601,Congruent,social,1,0,1,0,1,,,,,,,,,,
A,B,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.0874,Congruent,social,2,0,2,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.698,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.96,Congruent,social,0,0,0,0,1,,,,,,,,,,
B,A,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.7313,Congruent,social,1,0,1,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.8297,Congruent,social,2,0,2,0,1,,,,,,,,,,
B,A,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.0857,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.819,Congruent,social,0,0,0,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.676,Congruent,social,1,0,1,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.7888,Congruent,social,2,0,2,0,1,,,,,,,,,,
A,B,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.7504,Incongruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
B,A,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.9354,Congruent,social,0,0,0,0,1,,,,,,,,,,
B,A,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.7427,Congruent,social,1,0,1,0,1,,,,,,,,,,
B,A,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.49,Incongruent,social,2,0,2,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.1022,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
A,B,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.5585,Congruent,social,0,0,0,0,1,,,,,,,,,,
A,B,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.7776,Congruent,social,1,0,1,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.5459,Congruent,social,2,0,2,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.7857,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.7029,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.8426,Incongruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,89,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,1.4044,,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,81,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.6681,,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.5284,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.0884,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.798,Incongruent,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,45,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.3585,,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,3.2859,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,2.7941,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,2.9649,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.5466,Incongruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.863,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.0553,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.0878,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.0917,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.5167,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.9128,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.8076,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.7538,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.4215,Incongruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.8635,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.7685,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.6614,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
B,A,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.8036,Incongruent,social,0,0,0,0,1,,,,,,,,,,
B,A,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.4639,Congruent,social,1,0,1,0,1,,,,,,,,,,
B,A,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,3.5122,Congruent,social,2,0,2,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.4311,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,62,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,0.4735,,social,0,0,0,0,1,,,,,,,,,,
A,B,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,2.5944,Congruent,social,1,0,1,0,1,,,,,,,,,,
A,B,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.294,Incongruent,social,2,0,2,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.667,Incongruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.1299,Congruent,social,0,0,0,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.7354,Congruent,social,1,0,1,0,1,,,,,,,,,,
B,A,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.7661,Congruent,social,2,0,2,0,1,,,,,,,,,,
B,A,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.4778,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
B,A,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.7277,Congruent,social,0,0,0,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.5404,Congruent,social,1,0,1,0,1,,,,,,,,,,
B,A,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.7785,Congruent,social,2,0,2,0,1,,,,,,,,,,
B,A,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.7243,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.8235,Congruent,social,0,0,0,0,1,,,,,,,,,,
A,B,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.7837,Congruent,social,1,0,1,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.532,Congruent,social,2,0,2,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.6674,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
A,B,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.628,Congruent,social,0,0,0,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.6224,Congruent,social,1,0,1,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.9088,Congruent,social,2,0,2,0,1,,,,,,,,,,
A,B,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.4347,Congruent,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.2367,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,81,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.2264,,nonsocial,1,0,1,0,1,,,,,,,,,,
