left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,38,right,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,1.4355,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,3,3,3,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,70,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,1.1337,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,2.0653,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,24,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,3.602,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,98,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,1.3373,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,98,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,3.7833,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,70,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,5.4086,Incongruent,0,social,1,0,1,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,2.5433,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
B,A,24,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,3.7399,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,24,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,5.4192,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,70,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,3.7301,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,50,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,right,0,4.6651,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,98,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,left,0,1.4009,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,24,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,3.6651,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,70,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,5.2559,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,50,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,right,0,2.3457,Incongruent,1,social,2,0,2,0,1,,,,,,,,,,
A,B,98,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,left,0,1.8138,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,70,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,right,0,3.5386,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
A,B,98,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,left,0,1.4738,Congruent,0,social,1,0,1,0,1,,,,,,,,,,
A,B,50,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,right,0,2.6599,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,24,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,B,No,,,,,,,,0,,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,98,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,2.3834,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,3.6623,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,24,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,2.8836,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,70,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,1.8572,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
