left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,16,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,1.2698,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,28,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,3.3239,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,16,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,0.6733,Incongruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,84,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,2.3675,Incongruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,34,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,0.8315,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,34,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,4.4365,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,16,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,3.6952,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,84,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,left,0,2.9499,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,28,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,right,0,4.7212,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
