left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,99,right,0,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,1.6963,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""B"",""A"",""A""]]",Yes,0,2,2,0,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,91,right,0,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,2.5809,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""B"",""A"",""A""]]",No,0,3,3,2,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,74,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,1.3808,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,84,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,1.3004,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,52,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,2.2138,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,98,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,1.3193,Incongruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,98,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,right,0,2.775,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,74,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,4.8914,Incongruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,84,,,,,,,,,,,,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,left,0,0.7135,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
