participant_x,AQ_score,Gender,participant_y,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC,MatchedID,Rho_Index,Ambi_Index_Alpha_Win,Ambi_Index_Alpha_Loss,Ambi_Index_Rho_Win,Ambi_Index_Rho_Loss
clwe99,13,male,clwe99,nonsocial,0.8165299668303362,3.786762273049353,0.8967499498145342,0.7988257341268691,2.126381888646559,0.4998226200852961,21.107418814538843,65.44204369452504,clwe99,0.39692732972923805,0.17327699738015423,0.5662953027576895,-0.04143106981891986,-4.252136566768039e-05
clwe99,13,male,clwe99,social,0.643252969450182,4.815843883258129,0.938181019633454,0.2325304313691796,1.0,0.4998651414509638,22.03165443084472,67.29051492713678,clwe99,0.43831587818249024,0.17327699738015423,0.5662953027576895,-0.04143106981891986,-4.252136566768039e-05
copr92,9,female,copr92,social,0.4999887460705334,2.248799092229826,0.2976803442645401,0.4461490312209002,1.0,0.5039572856465588,33.817350641564126,90.8619073485756,copr92,-0.20627694138201874,0.2807064289674522,-0.3460122821345552,-0.1843968312535857,0.0030069255392441985
copr92,9,female,copr92,nonsocial,0.7806951750379856,1.0,0.1132835130109544,0.100136749086345,3.382300217938465,0.506964211185803,34.03262812197931,91.29246230940596,copr92,-0.39368069817484863,0.2807064289674522,-0.3460122821345552,-0.1843968312535857,0.0030069255392441985
djlu96,11,male,djlu96,nonsocial,0.8202453058754609,2.6343346275455897,0.8687790278376788,0.0872530201264854,1.0,0.5000000922347128,32.653909569058726,88.5350252035648,djlu96,0.36877893560296604,0.2308911690967086,-0.3697243673215095,0.10753715843353273,-3.066794319606103e-07
djlu96,11,male,djlu96,social,0.5893541367787523,3.478081046045827,0.7612418694041461,0.4569773874479949,1.0,0.5000003989141447,28.41822694743963,80.06365996032662,djlu96,0.26124147049000135,0.2308911690967086,-0.3697243673215095,0.10753715843353273,-3.066794319606103e-07
dmal96,3,male,dmal96,social,0.7068459892608261,4.760900325463311,0.9392535237249668,0.1365149688366738,1.0,0.4999907741062526,22.419168410392345,68.06554288623204,dmal96,0.43926274961871425,0.07141905116627456,0.1600325549726841,0.003731420331493762,9.668792035122387e-06
dmal96,3,male,dmal96,nonsocial,0.7782650404271007,4.964919841336669,0.9429849440564606,0.2965475238093579,1.4666218564275173,0.5000004428982877,19.153379804234746,61.53396567391684,dmal96,0.4429845011581729,0.07141905116627456,0.1600325549726841,0.003731420331493762,9.668792035122387e-06
elgr00,4,female,elgr00,nonsocial,0.794978184575291,5.3338521540983415,0.9604980293787738,0.1060847221538517,3.054647310720804,0.5000058106914227,15.380551470737323,53.988309006921995,elgr00,0.46049221868735113,0.007457775624386431,-0.1463645615055633,0.014738107531791833,5.9260715952191845e-06
elgr00,4,female,elgr00,social,0.7875204089509046,4.993295956855128,0.945759921846982,0.252449283659415,1.0,0.4999998846198275,11.625808945473656,46.47882395639466,elgr00,0.4457600372271545,0.007457775624386431,-0.1463645615055633,0.014738107531791833,5.9260715952191845e-06
