Participant_ID,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC
beka95,nonsocial,0.7964777411255137,4.359057143977784,0.9394412394813682,0.09881272289647304,1.0408379822599674,0.49999175340013957,22.5504838035278,68.32817367250294
piob00,nonsocial,0.718046169239564,4.5061896777964545,0.9453615986122136,0.234683037211699,2.4343948190025917,0.499999998022849,21.663745524169652,66.55469711378666
piob00,social,0.5069448955609881,5.2955839655623,0.9519290969594949,0.1559668602821362,2.005524306255269,0.5013576096075874,20.83836526443736,64.90393659432206
matr95,nonsocial,0.5024528526256198,3.003929755445105,0.8217792797354965,0.2840069429480087,1.0,0.5121557241196697,31.05648391618515,85.34017389781765
matr95,social,0.49685127618760816,1.0,0.219790134524796,0.3707164578122733,1.0,0.49945847644348873,33.85010103637827,90.92740813820389
male99,nonsocial,0.48835985986769825,2.9132551840999232,0.5790449365716437,0.6475988883226905,1.0,0.43504022518462465,32.46818692786542,88.16357992117818
male99,social,0.9999543741446002,25.429979117998,0.00018460900562783245,0.0795352372589632,1.0,0.4999990713623469,202.5206540524075,428.2685141702624
copr92,social,0.49320496306192135,1.7649380400817407,0.24433742581826073,0.31504181165711076,1.0,0.5791578526653186,33.95158423865847,91.13037454276429
copr92,nonsocial,0.8273622271972222,1.0,0.32502358260088504,0.13973672402261617,1.4345675030047456,0.5062155026754974,34.919938090123736,93.06708224569482
hezi87,social,0.21493558156481285,1.020266881902523,0.23248791108258965,0.751894233066398,1.0,0.5000002436757812,33.51461317540008,90.2564324162475
hezi87,nonsocial,0.34473741042334577,3.1726958975141435,0.28924620893383685,0.8398085315713474,1.0,0.5170672168255609,33.09581582472443,89.41883771489621
vima01,social,0.5015839963836181,7.230519262857414,0.5398153418351771,0.6975036155887642,1.0,0.01087981569444226,23.888102671109365,71.00341140766608
vima01,nonsocial,0.5477079773882352,5.395199123865663,0.9464918842434955,0.34716617545592715,2.038246650806665,0.2251221011785531,19.235846398752567,61.69889886295248
anfi01,social,0.8062989814981503,5.608333696176274,0.9552426182707767,0.33252555422948865,2.095472577956303,0.512158568278253,13.869023034724064,50.96525213489548
anfi01,nonsocial,0.5000626482596785,3.564527842596136,0.8901116658218323,0.2187311675171823,1.0,0.500000006851089,27.471956233127955,78.17111853170326
leas96,social,0.3406596391154231,3.2342224165930986,0.8124452109045991,0.29973272704317827,1.0,0.221239537902791,31.72038039490116,86.66796685524966
leas96,nonsocial,0.8907280265065357,4.002874411638646,0.9045243909384573,0.08681970710399584,1.0,0.4999974702201052,28.65290814887958,80.5330223632065
leal92,nonsocial,0.8717850401274444,8.869129634404885,0.899095457181228,5.699304057449925e-05,33.7589820130893,0.06110552496742756,191.20730718402473,405.64182043349683
leal92,social,0.4910902884646847,2.3256152513531063,0.47741919269981914,0.5458000451071044,1.0,0.5078950908305901,32.946799190334836,89.12080444611702
hamo95,nonsocial,0.4837039140791019,2.9017385314912847,0.8673765947717694,0.3269586778419755,1.0,0.4999776767215906,30.495169005084932,84.21754407561721
hamo95,social,0.3401316260335904,3.17083923905788,0.6566763065716074,0.40644522838981717,1.0,0.5000000036596363,29.993431770242402,83.21406960593215
alka88,social,4.708649332888111e-05,10.665269948725582,0.5026966072934633,5.712748385524123e-05,1.0,0.49956044689705387,67.35521371649295,157.93763349843326
alka88,nonsocial,0.012553088663108508,1.0,0.9046429175191508,4.540686425955515e-05,23.923811890653205,0.3457910693165179,107.44987601197387,238.1269580893951
elmi00,nonsocial,0.694309402133557,1.0,0.46754023323141936,4.539855937127646e-05,31.01313914715021,0.6373282699709196,143.26718382887853,309.7615737232044
elmi00,social,0.68817771506538,3.965387673929472,0.7608331762691484,0.7657841596017454,1.0,0.49876904674057326,29.644790209805315,82.51678648505798
maro96,nonsocial,0.7801939335886836,4.991319742173542,0.9664013089422627,0.7313585971291817,1.0,0.4524151118488012,18.650925693446084,60.529057452339515
maro96,social,0.4095594045514582,3.811995062636158,0.8578033334188334,0.5000800012546214,1.0,0.17084822734242605,28.27027322408714,79.76775251362163
thha00,social,0.48027166143070504,4.3922612401529015,0.6907001767700046,0.4751352757421251,1.0,0.4911670953705533,26.365332563617834,75.95787119268302
thha00,nonsocial,0.6851576835703702,5.642033859901167,0.9945797236057701,0.02015659170896021,2.4480130996820253,0.8405172297785095,25.70677209864383,74.64075026273501
mida99,social,0.9311443479620153,47.27053360596245,0.11464037859611634,0.815072684275344,1.0,0.38073085174276083,286.98066891333184,597.188543892111
mida99,nonsocial,0.8395782958045093,4.658494263105749,0.9453266346743727,0.05126580689860021,1.4718360214821251,0.49677939041741787,23.77455812279384,70.77632231103503
sasu98,social,0.8292043393221086,1.0,0.12222526798410889,0.11423375460181924,3.7659501246391356,0.4999944370708148,33.920974405737816,91.06915487692298
