Participant_ID,BlockType,Alpha,Theta,Rho,neg_ll,BIC
hese83,nonsocial,0.00022961404711496975,41.66519965615645,0.0016655486530375407,45.922773646846395,103.45915032641646
hese83,social,0.29188450940024624,1.0,0.49997055094637244,33.08282369194531,77.77925041661429
tost94,social,0.5281187431283257,3.1109250764266854,0.8040186171067832,26.744533742376987,65.10267051747765
tost94,nonsocial,0.027770353784885158,14.446442305325888,0.767463238953231,33.30170648665513,78.21701600603393
beka95,social,0.5000000000310487,1.0,0.11160709528620483,34.48774401263548,80.58909105799464
beka95,nonsocial,0.11681486843553485,10.440933119639555,0.8841596484618627,25.07650514630857,61.76661332534081
piob00,nonsocial,0.09488351843330266,24.405853294928,0.9550145097848242,17.092967698540615,45.799538429804905
piob00,social,0.0842355376937841,42.68562330396501,0.9242833385530723,12.447045525976407,36.50769408467649
matr95,nonsocial,0.4190921980703878,1.1605148276817583,0.7043930012017409,32.51465530555664,76.64291364383695
matr95,social,0.20750943895815452,4.802546237379562,0.14396347596658812,33.1734218952502,77.96044682322407
male99,nonsocial,0.5038495239876181,1.0,0.49866112996066203,33.01146914378363,77.63654132029093
male99,social,0.2600270253185612,1.0,0.37112394759258965,34.06929279128932,79.75218861530232
copr92,social,0.3882613705571134,1.0,0.20893190922666097,33.75435157633162,79.12230618538692
copr92,nonsocial,0.14629606797866662,1.0,0.36742893159700507,34.49445973072406,80.6025224941718
hezi87,social,0.040684141664709274,39.86183861807546,0.34878947271116845,32.50958172962568,76.63276649197503
hezi87,nonsocial,0.008080036050112148,41.53206818562875,0.00034808642687004083,42.84477162916931,97.30314629106229
vima01,social,0.28928785010918406,14.974672210553482,0.4380739668680147,17.867814001161655,47.349231035046984
vima01,nonsocial,0.14829587971346073,25.19887771490928,0.8362783007972033,10.982954600744803,33.57951223421328
anfi01,social,0.21819882854814546,50.0,0.9069891705686991,4.303458772012199,20.220520576748072
anfi01,nonsocial,0.0011473837507894357,25.540959969193977,0.00022848107344493936,46.80291755488284,105.21943814248935
leas96,social,0.18164976906946062,2.295916931620746,0.690548905519179,32.64608535547159,76.90577374366686
leas96,nonsocial,0.0015347082218062876,46.10812923658346,0.311200034504231,38.67918928113031,88.9719815949843
leal92,nonsocial,0.3335892480343955,4.364652623299208,0.9133046502704446,23.553056177800702,58.71971538832508
leal92,social,0.5000000048244881,1.0,0.3940649942151498,33.10033026901805,77.81426357075978
hamo95,nonsocial,0.35044487723110346,2.7099845078874356,0.7336530635571737,30.80803501487101,73.2296730624657
